id,name,Coupon,ISIN,Issue date,Maturity_date,days,c_since_days,c_next_days,Jan_16,Jan_17,Jan_18,Jan_19,Jan_20,Jan_23,Jan_24,Jan_25,Jan_26,Jan_27
CANADACD-BONDS 2017(23),CAN 1.75 March 1 2023,0.0175,CA135087H490,10/6/2017,2023-03-01,44,137,44,99.71,99.7,99.72,99.72,99.74,99.75,99.76,99.77,99.78,99.79
CANADACD-BONDS 2021(23),CAN 0.25 September 1 2023,0.0025,CA135087M359,5/14/2021,2023-08-01,197,168,16,97.8,97.801,97.833,97.841,97.828,97.845,97.866,97.903,97.909,97.903
CANADACD-BONDS 2018(24),CAN 2.25 March 1 2024,0.0225,CA135087J546,10/5/2018,2024-03-01,410,137,44,97.93,97.87,97.95,97.92,97.87,97.86,97.87,97.92,97.92,97.84
CANADACD-BONDS 2019(24),CAN 1.5 September 1 2024,0.015,CA135087J967,4/5/2019,2024-09-01,594,137,44,96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29
CANADACD-BONDS 2019(25),CAN 1.25 March 1 2025,0.0125,CA135087K528,10/11/2019,2025-03-01,775,137,44,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3
CANADACD-BONDS 2020(25),CAN 0.5 September 1 2025,0.005,CA135087K940,4/3/2020,2025-09-01,956,137,44,92.73,92.75,93.03,93.03,92.87,92.82,92.81,92.97,93,92.72
CANADACD-BONDS 2020(26),CAN 0.25 March 1 2026,0.0025,CA135087L518,10/9/2020,2026-03-01,1140,137,44,91.08,91.19,91.43,91.51,91.32,91.23,91.21,91.41,91.45,91.17
CANADACD-BONDS 2021(26),CAN 1 September 2026,0.01,CA135087L930,4/16/2021,2026-09-01,1324,137,44,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
CANADACD-BONDS 2021(27),CAN 1.25 March 1 2027,0.0125,CA135087M847,10/15/2021,2027-03-01,1505,137,44,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
CANADACD-BONDS 2022(27),CAN 2.75 September 1 2027,0.0275,CA135087N837,5/13/2022,2027-09-01,1689,137,44,99.1,99.22,99.71,99.71,99.24,99.14,99.15,99.29,99.24,98.86
CANADACD-BONDS 2022(28),CAN 3.5 March 1 2028,0.035,CA135087P576,10/21/2022,2028-03-01,1871,137,44,102.73,102.84,103.4,103.38,102.81,102.73,102.77,102.92,102.82,102.4
