Year,2024M1,2024S1,2025M1,2025S1,2026M1,2026S1,2027M1,2027S1,2028M1
Jan_16,0.04121847,0.03723202,0.03496527,0.03393659,0.03252877,0.03112432,0.0300148,0.02915547,0.02871998
Jan_17,0.04181937,0.03746166,0.0347889,0.03388285,0.03216512,0.03077193,0.02972908,0.02887265,0.02848739
Jan_18,0.04112721,0.03665683,0.03386514,0.03275209,0.03134473,0.02957395,0.02845625,0.02773973,0.02732994
Jan_19,0.0414524,0.03721478,0.03399032,0.03277975,0.03108655,0.02943455,0.02833077,0.02774096,0.0273714
Jan_20,0.04196288,0.03790369,0.03477224,0.03347225,0.03178246,0.03048299,0.0293857,0.02883976,0.02856021
Jan_23,0.04220127,0.03801979,0.03516355,0.03377027,0.03217936,0.03067967,0.02957791,0.02907397,0.0287096
Jan_24,0.04215797,0.0381264,0.03539743,0.03384215,0.03227661,0.0306634,0.02953346,0.02904889,0.02861574
Jan_25,0.0417389,0.03764172,0.034769,0.0332048,0.03159261,0.03025666,0.02914753,0.02873736,0.02831841
Jan_26,0.0417868,0.03761418,0.03464498,0.03310908,0.0314762,0.03030431,0.02926938,0.02886181,0.02853731
Jan_27,0.0425947,0.03890911,0.03568854,0.03431043,0.03249745,0.0311392,0.03013607,0.02974205,0.02939642
