Year,Jan_16,Jan_17,Jan_18,Jan_19,Jan_20,Jan_23,Jan_24,Jan_25,Jan_26,Jan_27
2023/3/1,0.04278328,0.04425937,0.04309505,0.04372517,0.04249065,0.0435116,0.04318794,0.04284612,0.04248457,0.04210149
2023/8/1,0.04468421,0.04488399,0.0444661,0.04452617,0.04501098,0.04534739,0.04514564,0.04461035,0.04471525,0.04507261
2024/3/1,0.04199509,0.04261644,0.04189871,0.04223437,0.04276466,0.04301232,0.04296586,0.04252891,0.0425789,0.04341397
2024/9/1,0.03781743,0.03805624,0.03722621,0.03779923,0.03850933,0.03862952,0.03873754,0.03823614,0.03820813,0.03954068
2025/3/1,0.03559085,0.03541378,0.03446128,0.03459305,0.03539904,0.03580108,0.03604034,0.03539172,0.03526484,0.03634259
2025/9/1,0.03456081,0.03450628,0.03333849,0.03336846,0.03408448,0.03439258,0.034467,0.03380807,0.03370939,0.03495121
2026/3/1,0.0330492,0.03267543,0.03182901,0.03156442,0.03228178,0.03269062,0.03279085,0.03208562,0.03196575,0.03301924
2026/9/1,0.03162842,0.03127057,0.03004316,0.02990316,0.03097543,0.03117913,0.03116383,0.03074194,0.03078889,0.03165125
2027/3/1,0.03055793,0.03026758,0.02896507,0.02883935,0.02991783,0.03011723,0.03007372,0.02967235,0.02979375,0.03068874
2027/9/1,0.02979757,0.02951387,0.02835534,0.02835577,0.0294696,0.02971095,0.02968832,0.02935585,0.02947602,0.03038575
2028/3/1,0.02943044,0.02919531,0.02801387,0.02805235,0.02925002,0.02941087,0.02932326,0.02900258,0.02921151,0.03010199
